1, 0.0156859
2, 3.73951
3, 4.8055
4, 6.08469
5, 8.0869
6, 9.84493
7, 13.6162
8, 5.38329
9, 5.64642
10, 6.23863
11, 6.86156
12, 7.58779
13, 8.52915
14, 9.55782
15, 5.75692
16, 6.18107
17, 6.49858
18, 6.93101
19, 7.39379
20, 7.91883
21, 8.5142
22, 6.04443
23, 6.31775
24, 6.63756
25, 6.92082
26, 7.26133
27, 7.62343
28, 8.02596
29, 8.45703
30, 6.43057
31, 6.66298
32, 6.92447
33, 7.17046
34, 7.4506
35, 7.74592
36, 8.06896
37, 6.50204
38, 6.69469
39, 6.89712
40, 7.11935
41, 7.33418
42, 7.57163
43, 7.82049
44, 6.55433
45, 6.7151
46, 6.88686
47, 7.06612
48, 7.25967
49, 7.44947
50, 7.65533
51, 7.86999
52, 6.73209
53, 6.87813
54, 7.03294
55, 7.19368
56, 7.36525
57, 7.53485
58, 7.71644
59, 6.73905
60, 6.87322
61, 7.00688
62, 7.14771
63, 7.29332
64, 7.44742
65, 7.60055
66, 6.7468
67, 6.86453
68, 6.98797
69, 7.11114
70, 7.24024
71, 7.37329
72, 7.51317
73, 7.19777
74, 6.85938
75, 6.96883
76, 7.08312
77, 7.19723
78, 7.31638
79, 7.43886
80, 7.56694
81, 6.85461
82, 6.95464
83, 7.0569
84, 7.16326
85, 7.26956
86, 7.38017
87, 7.49355
88, 6.85205
89, 6.94239
90, 7.03631
91, 7.13224
92, 7.23169
93, 7.33118
94, 7.4343
95, 7.18994
96, 6.93313
97, 7.01854
98, 7.10708
99, 7.19742
